Date,Last Price_RGUSTL,Return_RGUSTL,Last Price_NDX,Return_NDX,VIX,Cluster
2/21/2018,3191.936,-0.004885574,6759.26,-0.003014883,20.02,1
2/22/2018,3192.485,0.000171996,6761.85,0.000383178,18.72,0
2/23/2018,3259.947,0.021131501,6896.6,0.019927978,16.49,0
2/26/2018,3312.833,0.016222963,6989.1,0.013412406,15.8,0
2/27/2018,3282.599,-0.009126328,6900.35,-0.012698345,18.59,0
2/28/2018,3260.094,-0.006855848,6854.42,-0.006656184,19.85,0
3/1/2018,3207.422,-0.016156589,6750.54,-0.015155185,22.47,1
3/2/2018,3242.916,0.011066208,6811.04,0.008962246,19.59,0
3/5/2018,3273.075,0.009299963,6881.28,0.010312669,18.73,0
3/6/2018,3285.653,0.003842869,6913.02,0.004612514,18.36,0
3/7/2018,3305.313,0.00598359,6929.39,0.002367995,17.76,0
3/8/2018,3319.963,0.004432258,6966.43,0.005345348,16.54,0
3/9/2018,3386.244,0.019964379,7101.18,0.019342762,14.64,0
3/12/2018,3399.004,0.003768187,7131.12,0.004216201,15.78,0
3/13/2018,3354.24,-0.01316974,7046.51,-0.011864896,16.35,0
3/14/2018,3353.375,-0.000257883,7040.98,-0.000784786,17.23,0
3/15/2018,3353.637,7.81302E-05,7030.97,-0.001421677,16.59,0
3/16/2018,3349.34,-0.001281296,7019.95,-0.001567351,15.8,0
3/19/2018,3276.1712,-0.021845737,6864.88,-0.022089901,19.02,0
3/20/2018,3273.373,-0.000854107,6885.92,0.003064875,18.2,0
3/21/2018,3255.608,-0.005427124,6853.45,-0.004715419,17.86,0
3/22/2018,3172.171,-0.0256287,6682.26,-0.02497866,23.34,1
3/23/2018,3087.006,-0.026847544,6508.09,-0.026064535,24.87,1
3/26/2018,3212.063,0.040510773,6753.83,0.037759158,21.03,1
3/27/2018,3097.127,-0.035782611,6529.84,-0.033164886,22.5,1
3/28/2018,3066.124,-0.010010245,6460.81,-0.010571469,22.87,1
3/29/2018,3132.383,0.02161002,6581.13,0.018623052,19.97,0
4/2/2018,3051.655,-0.025772072,6390.84,-0.028914487,23.62,1
4/3/2018,3083.517,0.010440892,6458.83,0.010638664,21.1,1
4/4/2018,3127.991,0.014423141,6560.06,0.015673117,20.06,1
4/5/2018,3136.842,0.002829612,6594.84,0.005301781,18.94,0
4/6/2018,3061.749,-0.023939044,6433.21,-0.024508555,21.49,1
4/9/2018,3084.886,0.007556792,6472.34,0.0060825,21.77,1
4/10/2018,3162.202,0.025062839,6615.87,0.022175905,20.47,1
4/11/2018,3149.721,-0.003946933,6583.44,-0.00490185,20.24,1
4/12/2018,3190.431,0.012924954,6656.26,0.011061087,18.49,0
4/13/2018,3176.979,-0.004216358,6628.34,-0.004194548,17.41,0
4/16/2018,3199.542,0.00710203,6675.18,0.007066626,16.56,0
4/17/2018,3266.232,0.020843608,6816.37,0.02115149,15.25,0
4/18/2018,3255.119,-0.003402392,6833.21,0.002470523,15.6,0
4/19/2018,3214.09,-0.012604455,6774.89,-0.008534788,15.96,0
4/20/2018,3162.38,-0.016088535,6667.75,-0.015814279,16.88,0
4/23/2018,3149.1097,-0.004196302,6648.8,-0.002842038,16.34,0
4/24/2018,3087.055,-0.019705474,6509.05,-0.02101883,18.02,0
4/25/2018,3082.548,-0.001459968,6513.94,0.000751262,17.84,0
4/26/2018,3149.037,0.021569494,6649.65,0.020833781,16.24,0
4/27/2018,3140.361,-0.002755128,6656.35,0.001007572,15.41,0
4/30/2018,3122.271,-0.005760484,6605.57,-0.007628806,15.93,0
5/1/2018,3166.661,0.014217216,6681.96,0.011564483,15.49,0
5/2/2018,3167.02,0.000113369,6644.48,-0.005609133,15.97,0
5/3/2018,3171.819,0.001515305,6643.48,-0.000150501,15.9,0
5/4/2018,3238.1485,0.020912133,6769.12,0.018911775,14.77,0
5/7/2018,3265.439,0.00842781,6821.87,0.007792741,14.75,0
5/8/2018,3275.649,0.003126685,6815.48,-0.000936693,14.71,0
5/9/2018,3322.617,0.014338533,6893.21,0.011404919,13.42,0
5/10/2018,3365.49,0.012903383,6963.55,0.010204244,13.23,0
5/11/2018,3351.625,-0.004119757,6952.56,-0.001578218,12.65,0
5/14/2018,3353.913,0.000682654,6964.37,0.001698655,12.93,0
5/15/2018,3319.637,-0.010219705,6888.54,-0.010888278,14.63,0
5/16/2018,3332.43,0.003853735,6929.97,0.006014337,13.42,0
5/17/2018,3314.573,-0.005358552,6901.63,-0.004089484,13.43,0
5/18/2018,3299.679,-0.00449349,6866.25,-0.005126325,13.42,0
5/21/2018,3328.211,0.008646902,6905.53,0.005720735,13.08,0
5/22/2018,3319.597,-0.002588177,6893.62,-0.001724705,13.22,0
5/23/2018,3348.497,0.008705876,6953.63,0.008705151,12.58,0
5/24/2018,3344.693,-0.001136032,6949.7,-0.000565172,12.53,0
5/25/2018,3347.737,0.000910098,6960.92,0.001614458,13.22,0
5/29/2018,3328.266,-0.005816168,6926.54,-0.004939002,17.02,0
5/30/2018,3350.151,0.006575496,6976.37,0.007194068,14.94,0
5/31/2018,3351.438,0.000384162,6967.73,-0.001238466,15.43,0
6/1/2018,3419.195,0.020217292,7083.93,0.01667688,13.46,0
6/4/2018,3443.234,0.007030602,7143.57,0.008419056,12.74,0
6/5/2018,3459.533,0.004733631,7166.75,0.003244876,12.4,0
6/6/2018,3471.74,0.003528511,7210.08,0.006045976,11.64,0
6/7/2018,3436.342,-0.01019604,7152.83,-0.007940273,12.13,0
6/8/2018,3434.914,-0.000415558,7152.62,-2.9359E-05,12.18,0
6/11/2018,3436.461,0.000450375,7168.48,0.002217369,12.35,0
6/12/2018,3454.528,0.005257444,7209.18,0.005677633,12.34,0
6/13/2018,3447.074,-0.002157748,7205.26,-0.000543751,12.94,0
6/14/2018,3470.691,0.006851318,7279.59,0.010316075,12.12,0
6/15/2018,3453.916,-0.004833331,7255.76,-0.003273536,11.98,0
6/18/2018,3461.233,0.002118465,7251.41,-0.000599524,12.31,0
6/19/2018,3434.511,-0.00772037,7228.04,-0.003222821,13.35,0
6/20/2018,3447.122,0.003671847,7280.71,0.007286899,12.79,0
6/21/2018,3417.39,-0.008625166,7217.49,-0.008683219,14.64,0
6/22/2018,3400.789,-0.004857801,7197.51,-0.002768275,13.77,0
6/25/2018,3323.405,-0.02275472,7038.17,-0.022138212,17.33,0
6/26/2018,3340.481,0.005138104,7068.2,0.004266734,15.92,0
6/27/2018,3290.391,-0.014994847,6969.67,-0.0139399,17.91,0
6/28/2018,3323.39,0.010028899,7031.6,0.008885643,16.85,0
6/29/2018,3323.8,0.000123368,7040.8,0.001308379,16.09,0
7/2/2018,3361.183,0.011247067,7097.82,0.008098512,15.6,0
7/3/2018,3313.515,-0.014181912,7014.55,-0.011731771,16.14,0
7/5/2018,3361.973,0.014624349,7101.05,0.012331511,14.97,0
7/6/2018,3407.423,0.013518847,7207.33,0.014966801,13.37,0
7/9/2018,3435.049,0.008107593,7276,0.0095278,12.69,0
7/10/2018,3443.036,0.002325149,7282.6,0.000907092,12.64,0
7/11/2018,3420.479,-0.006551485,7243.98,-0.005303051,13.63,0
7/12/2018,3483.692,0.018480745,7366.25,0.016878843,12.58,0
7/13/2018,3482.906,-0.000225623,7375.82,0.001299169,12.18,0
7/16/2018,3472.181,-0.003079325,7357.9,-0.00242956,12.83,0
7/17/2018,3501.496,0.00844282,7403.89,0.006250425,12.06,0
7/18/2018,3497.251,-0.001212339,7390.13,-0.001858483,12.1,0
