,Date,Last Price
0,2008-02-19,25.59
1,2008-02-20,24.4
2,2008-02-21,25.12
3,2008-02-22,24.06
4,2008-02-25,23.03
5,2008-02-26,21.9
6,2008-02-27,22.69
7,2008-02-28,23.53
8,2008-02-29,26.54
9,2008-03-03,26.28
10,2008-03-04,25.52
11,2008-03-05,24.6
12,2008-03-06,27.55
13,2008-03-07,27.49
14,2008-03-10,29.38
15,2008-03-11,26.36
16,2008-03-12,27.22
17,2008-03-13,27.29
18,2008-03-14,31.16
19,2008-03-17,32.24
20,2008-03-18,25.79
21,2008-03-19,29.84
22,2008-03-20,26.62
23,2008-03-24,25.73
24,2008-03-25,25.72
25,2008-03-26,26.08
26,2008-03-27,25.88
27,2008-03-28,25.71
28,2008-03-31,25.61
29,2008-04-01,22.68
30,2008-04-02,23.43
31,2008-04-03,23.21
32,2008-04-04,22.45
33,2008-04-07,22.42
34,2008-04-08,22.36
35,2008-04-09,22.81
36,2008-04-10,21.98
37,2008-04-11,23.46
38,2008-04-14,23.82
39,2008-04-15,22.78
40,2008-04-16,20.53
41,2008-04-17,20.37
42,2008-04-18,20.13
43,2008-04-21,20.5
44,2008-04-22,20.87
45,2008-04-23,20.26
46,2008-04-24,20.06
47,2008-04-25,19.59
48,2008-04-28,19.64
49,2008-04-29,20.24
50,2008-04-30,20.79
51,2008-05-01,18.88
52,2008-05-02,18.18
53,2008-05-05,18.9
54,2008-05-06,18.21
55,2008-05-07,19.73
56,2008-05-08,19.4
57,2008-05-09,19.41
58,2008-05-12,17.79
59,2008-05-13,17.98
60,2008-05-14,17.66
61,2008-05-15,16.3
62,2008-05-16,16.47
63,2008-05-19,17.01
64,2008-05-20,17.58
65,2008-05-21,18.59
66,2008-05-22,18.05
67,2008-05-23,19.55
68,2008-05-27,19.64
69,2008-05-28,19.07
70,2008-05-29,18.14
71,2008-05-30,17.83
72,2008-06-02,19.83
73,2008-06-03,20.24
74,2008-06-04,20.8
75,2008-06-05,18.63
76,2008-06-06,23.56
77,2008-06-09,23.12
78,2008-06-10,23.18
79,2008-06-11,24.12
80,2008-06-12,23.33
81,2008-06-13,21.22
82,2008-06-16,20.95
83,2008-06-17,21.13
84,2008-06-18,22.24
85,2008-06-19,21.58
86,2008-06-20,22.87
87,2008-06-23,22.64
88,2008-06-24,22.42
89,2008-06-25,21.14
90,2008-06-26,23.93
91,2008-06-27,23.44
92,2008-06-30,23.95
93,2008-07-01,23.65
